"team_code","team","longitude","latitude","url","region","group"
"ARI","Arizona Cardinals",-112.25876,33.52713,"https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png","AZ",1
"ATL","Atlanta Falcons",-84.40121,33.75735,"https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png","GA",1
"BAL","Baltimore Ravens",-76.6227,39.2779,"https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/193px-Baltimore_Ravens_logo.svg.png","MD",1
"BUF","Buffalo Bills",-78.78679,42.77379,"https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png","NY",1
"CAR","Carolina Panthers",-80.85331,35.22584,"https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png","NC",1
"CHI","Chicago Bears",-87.6167,41.8623,"https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png","IL",1
"CIN","Cincinnati Bengals",-84.51623,39.09532,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png","OH",1
"CLE","Cleveland Browns",-81.69962,41.50618,"https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png","OH",1
"DAL","Dallas Cowboys",-97.09277,32.74778,"https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png","TX",1
"DEN","Denver Broncos",-105.02028,39.74396,"https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png","CO",1
"DET","Detroit Lions",-83.04564,42.34005,"https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png","MI",1
"GB","Green Bay Packers",-88.06223,44.50117,"https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png","WI",1
"HOU","Houston Texans",-95.41092,29.68493,"https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png","TX",1
"IND","Indianapolis Colts",-86.16361,39.76,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png","IN",1
"JAX","Jacksonville Jaguars",-81.6369,30.32387,"https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png","FL",1
"KC","Kansas City Chiefs",-94.48388,39.04895,"https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/100px-Kansas_City_Chiefs_logo.svg.png","MO",1
"LAC","Los Angeles Chargers",-118.2611,33.8644,"https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png","CA",1
"LA","Los Angeles Rams",-118.2879,34.0141,"https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png","CA",1
"MIA","Miami Dolphins",-80.23889,25.95801,"https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png","FL",1
"MIN","Minnesota Vikings",-93.25848,44.97401,"https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png","MN",1
"NE","New England Patriots",-71.26491,42.09188,"https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png","MA",1
"NO","New Orleans Saints",-90.08128,29.95116,"https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/New_Orleans_Saints_logo.svg/98px-New_Orleans_Saints_logo.svg.png","LA",1
"NYG","New York Giants",-74.0745,40.8135,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/100px-New_York_Giants_logo.svg.png","NY",1
"NYJ","New York Jets",-74.0745,40.8135,"https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png","NY",1
"OAK","Oakland Raiders",-122.1999,37.75233,"https://upload.wikimedia.org/wikipedia/en/thumb/e/ec/Oakland_Raiders_logo.svg/100px-Oakland_Raiders_logo.svg.png","CA",1
"PHI","Philadelphia Eagles",-75.16729,39.90147,"https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png","PA",1
"PIT","Pittsburgh Steelers",-80.01574,40.44673,"https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png","PA",1
"SF","San Francisco 49ers",-122.38673,37.71399,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png","CA",1
"SEA","Seattle Seahawks",-122.33165,47.59476,"https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png","WA",1
"TB","Tampa Bay Buccaneers",-82.50349,27.97884,"https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/100px-Tampa_Bay_Buccaneers_logo.svg.png","FL",1
