team,team_code,url,geo.point,geo.shape,sector,subsector,primary_ty,sec_class,date_creat,date_modif,comp_affil,name,name2,name3,address1,address2,po_box,po_zip,city,state,zip,zip_4,county,hsip_aoi,fema_regio,latitude,longitude,reliabilit,coorsource,comments_1,conference,division,capacity,roof_type,group,region
Arizona Cardinals,ARI,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,"33.5271572087,-112.262291479","{""type"": ""Point"", ""coordinates"": [-112.26229147924977, 33.527157208713106]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,7/18/06,2/11/10,NA,University of Phoenix Stadium,NA,NA,1 Cardinals Drive,NA,NA,NA,Glendale,AZ,85305,,Maricopa,Phoenix,9,33.52713,-112.25876,High,NGA,,National,West,63400,Retractable,1,utah
Atlanta Falcons,ATL,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png,"33.7573499236,-84.4012100454","{""type"": ""Point"", ""coordinates"": [-84.40121004538905, 33.757349923637776]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/04,2/11/10,NA,Georgia Dome,NA,NA,1 Georgia Dome Drive NW,NA,NA,NA,Atlanta,GA,30313,30313-1504,Fulton,Atlanta,4,33.75735,-84.40121,High,NGA,Shares stadium with Georgia State Panthers (NCAA),National,South,71228,Dome,1,utah
Baltimore Ravens,BAL,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/193px-Baltimore_Ravens_logo.svg.png,"39.2779000046,-76.6227000055","{""type"": ""Point"", ""coordinates"": [-76.62270000548904, 39.27790000460368]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/04,2/11/10,NA,M&T Bank Stadium,NA,NA,1101 Russell Street,NA,NA,NA,Baltimore,MD,21230,,Baltimore City,Baltimore,3,39.2779,-76.6227,High,NGA,,American,North,71008,Open,1,utah
Buffalo Bills,BUF,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,"42.7737900217,-78.7867900188","{""type"": ""Point"", ""coordinates"": [-78.78679001883404, 42.77379002165435]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/04,2/11/10,NA,Ralph Wilson Stadium,NA,NA,1 Bills Drive,NA,NA,NA,Orchard Park,NY,14127,,Erie,Buffalo,2,42.77379,-78.78679,High,NGA,,American,East,73967,Open,1,utah
Carolina Panthers,CAR,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png,"35.2258400005,-80.8533099799","{""type"": ""Point"", ""coordinates"": [-80.85330997988439, 35.225840000480154]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/04,2/11/10,NA,Bank of America Stadium,NA,NA,800 South Mint Street,NA,NA,NA,Charlotte,NC,28202,,Mecklenburg,Charlotte,4,35.22584,-80.85331,High,NGA,,National,South,73778,Open,1,utah
Chicago Bears,CHI,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.8623,-87.6167,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cincinnati Bengals,CIN,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png,"39.095320014,-84.5162300477","{""type"": ""Point"", ""coordinates"": [-84.51623004771318, 39.095320014037895]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/04,2/11/10,NA,Paul Brown Stadium,NA,NA,1 Paul Brown Stadium,NA,NA,NA,Cincinnati,OH,45202,,Hamilton,Cincinnati,5,39.09532,-84.51623,High,NGA,,American,North,65535,Open,1,utah
Cleveland Browns,CLE,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png,"41.5061799776,-81.6996200647","{""type"": ""Point"", ""coordinates"": [-81.69962006472832, 41.50617997764925]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/04,2/11/10,NA,Cleveland Browns Stadium,NA,NA,100 Alfred Lerner Way,NA,NA,NA,Cleveland,OH,44114,,Cuyahoga,Cleveland-Akron,5,41.50618,-81.69962,High,NGA,,American,North,65790,Open,1,utah
Dallas Cowboys,DAL,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png,"32.746930527,-97.0923739136","{""type"": ""Point"", ""coordinates"": [-97.09237391359306, 32.746930526962096]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/10,,NA,Cowboys Stadium,NA,NA,900 East Randol Mill Road,NA,NA,NA,Arlington,TX,76011,,Tarrant,Dallas-Fort Worth,6,32.74778,-97.09277,High,NGA,,National,East,80000,Retractable,1,utah
Denver Broncos,DEN,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,"39.74396,-105.020280016","{""type"": ""Point"", ""coordinates"": [-105.0202800160825, 39.743959999975914]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/04,2/11/10,NA,Invesco Field at Mile High,NA,NA,1701 Bryant Street,NA,NA,NA,Denver,CO,80204,,Denver,Denver,8,39.74396,-105.02028,High,NGA,Shares stadium with Outlaws(MLL).,American,West,76125,Open,1,utah
Detroit Lions,DET,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png,"42.3400499765,-83.0456399685","{""type"": ""Point"", ""coordinates"": [-83.04563996849686, 42.340049976484295]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/23/04,2/11/10,NA,Ford Field,NA,NA,2000 Brush Street,NA,NA,NA,Detroit,MI,48226,48226-2229,Wayne,Detroit,5,42.34005,-83.04564,High,NGA,,National,North,64111,Dome,1,utah
Green Bay Packers,GB,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,"44.5011699465,-88.0622299348","{""type"": ""Point"", ""coordinates"": [-88.06222993480286, 44.50116994645191]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/04,2/11/10,NA,Lambeau Field,NA,NA,1265 Lombardi Avenue,NA,NA,NA,Green Bay,WI,54307,,Brown,None,5,44.50117,-88.06223,High,NGA,,National,North,72928,Open,1,utah
Houston Texans,HOU,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,"29.6849299406,-95.410919978","{""type"": ""Point"", ""coordinates"": [-95.41091997803119, 29.684929940564473]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/23/04,2/11/10,NA,Reliant Stadium,NA,NA,8299 Kirby Drive,NA,NA,NA,Houston,TX,77054,,Harris,Houston,6,29.68493,-95.41092,High,NGA,,American,South,71500,Retractable,1,utah
Indianapolis Colts,IND,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,"39.7600000001,-86.1631100002","{""type"": ""Point"", ""coordinates"": [-86.16311000021767, 39.760000000122375]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/10,,NA,Lucas Oil Stadium,NA,NA,500 South Capitol Avenue,NA,NA,NA,Indianapolis,IN,46225,,Marion,Indianapolis,5,39.76,-86.16361,High,NGA,,American,South,63000,Retractable,1,utah
Jacksonville Jaguars,JAX,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png,"30.3238700522,-81.6368999561","{""type"": ""Point"", ""coordinates"": [-81.63689995605307, 30.323870052233815]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/04,2/11/10,NA,Jacksonville Municipal Stadium,NA,NA,1 Stadium Place,NA,NA,NA,Jacksonville,FL,32202,32202-1918,Duval,Jacksonville,4,30.32387,-81.6369,High,NGA,,American,South,76867,Open,1,utah
Kansas City Chiefs,KC,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/100px-Kansas_City_Chiefs_logo.svg.png,"39.0489499819,-94.4838800902","{""type"": ""Point"", ""coordinates"": [-94.48388009015628, 39.048949981852275]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/04,2/11/10,NA,Arrowhead Stadium,NA,NA,1 Arrowhead Drive,NA,NA,NA,Kansas City,MO,64129,,Jackson,Kansas City,7,39.04895,-94.48388,High,NGA,,American,West,77000,Open,1,utah
Los Angeles Chargers,LAC,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.8644,-118.2611,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Rams,LA,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.0141,-118.2879,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami Dolphins,MIA,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,"25.9580100153,-80.2388899544","{""type"": ""Point"", ""coordinates"": [-80.23888995439034, 25.958010015322884]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/04,2/11/10,NA,Sun Life Stadium,NA,NA,2267 North West 199th Street,NA,NA,NA,Miami,FL,33056,,Dade,Miami-Fort Lauderdale,4,25.95801,-80.23889,High,NGA,"Shares stadium with Marlins(MLB), Miami FL(NCAA)",American,East,76500,Open,1,utah
Minnesota Vikings,MIN,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,"44.9740100637,-93.258479972","{""type"": ""Point"", ""coordinates"": [-93.25847997201066, 44.974010063702735]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/04,2/11/10,NA,Hubert H. Humphrey Metrodome,NA,NA,900 South 5th Street,NA,NA,NA,Minneapolis,MN,55415,55415-1599,Hennepin,Minneapolis-Saint Paul,5,44.97401,-93.25848,High,NGA,Shares stadium with Twins(MLB) and Min. Gophers(NCAA),National,North,64035,Dome,1,utah
New England Patriots,NE,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,"42.0918799131,-71.2649100654","{""type"": ""Point"", ""coordinates"": [-71.26491006535264, 42.09187991311927]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/04,2/11/10,NA,Gillette Stadium,NA,NA,1 Patriot Place,NA,NA,NA,Foxboro,MA,2035,02035-1388,Norfolk,Boston,1,42.09188,-71.26491,High,NGA,Shares stadium with Revolution(MLS).,American,East,68756,Open,1,utah
