"type","game_id","home_team","away_team","week","season","state_of_game","game_url","home_score","away_score","home_longitude","home_latitude","away_longitude","away_latitude","travel"
"reg","2019090500","CHI","GB",1,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019090500/2019090500_gtd.json",NA,NA,-87.6167,41.8623,-88.06223,44.50117,368
"reg","2019090800","CAR","LA",1,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019090800/2019090800_gtd.json",NA,NA,-80.85331,35.22584,-118.2879,34.0141,4232
"reg","2019090806","PHI","WAS",1,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019090806/2019090806_gtd.json",NA,NA,-75.16729,39.90147,-76.86444,38.90778,228
"reg","2019090805","NYJ","BUF",1,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019090805/2019090805_gtd.json",NA,NA,-74.0745,40.8135,-78.78679,42.77379,556
"reg","2019090804","MIN","ATL",1,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019090804/2019090804_gtd.json",NA,NA,-93.25848,44.97401,-84.40121,33.75735,1812
"reg","2019090803","MIA","BAL",1,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019090803/2019090803_gtd.json",NA,NA,-80.23889,25.95801,-76.6227,39.2779,1886
"reg","2019090802","JAX","KC",1,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019090802/2019090802_gtd.json",NA,NA,-81.6369,30.32387,-94.48388,39.04895,1888
"reg","2019090801","CLE","TEN",1,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019090801/2019090801_gtd.json",NA,NA,-81.69962,41.50618,-86.77252,36.16654,918
"reg","2019090807","LAC","IND",1,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019090807/2019090807_gtd.json",NA,NA,-118.2611,33.8644,-86.16361,39.76,3620
"reg","2019090808","SEA","CIN",1,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019090808/2019090808_gtd.json",NA,NA,-122.33165,47.59476,-84.51623,39.09532,3932
"reg","2019090811","TB","SF",1,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019090811/2019090811_gtd.json",NA,NA,-82.50349,27.97884,-122.38673,37.71399,4780
"reg","2019090810","DAL","NYG",1,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019090810/2019090810_gtd.json",NA,NA,-97.09277,32.74778,-74.0745,40.8135,2768
"reg","2019090809","ARI","DET",1,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019090809/2019090809_gtd.json",NA,NA,-112.25876,33.52713,-83.04564,42.34005,3386
"reg","2019090812","NE","PIT",1,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019090812/2019090812_gtd.json",NA,NA,-71.26491,42.09188,-80.01574,40.44673,936
"reg","2019090900","NO","HOU",1,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019090900/2019090900_gtd.json",NA,NA,-90.08128,29.95116,-95.41092,29.68493,640
"reg","2019090901","OAK","DEN",1,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019090901/2019090901_gtd.json",NA,NA,-122.1999,37.75233,-105.02028,39.74396,1868
"reg","2019091200","CAR","TB",2,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019091200/2019091200_gtd.json",NA,NA,-80.85331,35.22584,-82.50349,27.97884,1020
"reg","2019091500","BAL","ARI",2,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019091500/2019091500_gtd.json",NA,NA,-76.6227,39.2779,-112.25876,33.52713,4014
"reg","2019091509","WAS","DAL",2,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019091509/2019091509_gtd.json",NA,NA,-76.86444,38.90778,-97.09277,32.74778,2414
"reg","2019091508","TEN","IND",2,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019091508/2019091508_gtd.json",NA,NA,-86.77252,36.16654,-86.16361,39.76,500
"reg","2019091507","PIT","SEA",2,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019091507/2019091507_gtd.json",NA,NA,-80.01574,40.44673,-122.33165,47.59476,4262
"reg","2019091506","NYG","BUF",2,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019091506/2019091506_gtd.json",NA,NA,-74.0745,40.8135,-78.78679,42.77379,556
"reg","2019091501","CIN","SF",2,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019091501/2019091501_gtd.json",NA,NA,-84.51623,39.09532,-122.38673,37.71399,4074
"reg","2019091502","DET","LAC",2,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019091502/2019091502_gtd.json",NA,NA,-83.04564,42.34005,-118.2611,33.8644,3970
"reg","2019091503","GB","MIN",2,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019091503/2019091503_gtd.json",NA,NA,-88.06223,44.50117,-93.25848,44.97401,514
"reg","2019091504","HOU","JAX",2,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019091504/2019091504_gtd.json",NA,NA,-95.41092,29.68493,-81.6369,30.32387,1648
"reg","2019091505","MIA","NE",2,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019091505/2019091505_gtd.json",NA,NA,-80.23889,25.95801,-71.26491,42.09188,2450
"reg","2019091510","OAK","KC",2,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019091510/2019091510_gtd.json",NA,NA,-122.1999,37.75233,-94.48388,39.04895,2994
"reg","2019091512","LA","NO",2,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019091512/2019091512_gtd.json",NA,NA,-118.2879,34.0141,-90.08128,29.95116,3340
"reg","2019091511","DEN","CHI",2,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019091511/2019091511_gtd.json",NA,NA,-105.02028,39.74396,-87.6167,41.8623,1840
"reg","2019091513","ATL","PHI",2,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019091513/2019091513_gtd.json",NA,NA,-84.40121,33.75735,-75.16729,39.90147,1326
"reg","2019091600","NYJ","CLE",2,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019091600/2019091600_gtd.json",NA,NA,-74.0745,40.8135,-81.69962,41.50618,798
"reg","2019091900","JAX","TEN",3,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019091900/2019091900_gtd.json",NA,NA,-81.6369,30.32387,-86.77252,36.16654,1002
"reg","2019092200","BUF","CIN",3,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092200/2019092200_gtd.json",NA,NA,-78.78679,42.77379,-84.51623,39.09532,784
"reg","2019092207","PHI","DET",3,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092207/2019092207_gtd.json",NA,NA,-75.16729,39.90147,-83.04564,42.34005,886
"reg","2019092206","NE","NYJ",3,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092206/2019092206_gtd.json",NA,NA,-71.26491,42.09188,-74.0745,40.8135,340
"reg","2019092205","MIN","OAK",3,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092205/2019092205_gtd.json",NA,NA,-93.25848,44.97401,-122.1999,37.75233,3142
"reg","2019092204","KC","BAL",3,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092204/2019092204_gtd.json",NA,NA,-94.48388,39.04895,-76.6227,39.2779,1910
"reg","2019092203","IND","ATL",3,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092203/2019092203_gtd.json",NA,NA,-86.16361,39.76,-84.40121,33.75735,852
"reg","2019092202","GB","DEN",3,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092202/2019092202_gtd.json",NA,NA,-88.06223,44.50117,-105.02028,39.74396,1854
"reg","2019092201","DAL","MIA",3,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092201/2019092201_gtd.json",NA,NA,-97.09277,32.74778,-80.23889,25.95801,2232
